enviro,observer,task,ori,n_runs,threshold,t_sem,slope,s_sem
web,p10,spatial,vertical,5,2.9222,0.0509,0.5701,0.0451
web,p10,spatial,minus45,5,20.3021,0.839,7.939,0.9576
web,p10,spatial,plus45,5,22.0062,0.6499,7.3194,0.7069
web,p11,temporal,horizontal,5,1.7007,0.0414,0.6669,0.0374
web,p11,temporal,vertical,5,1.1215,0.0467,0.5471,0.0427
web,p11,temporal,minus45,5,10.2354,0.2531,2.6993,0.2237
web,p11,temporal,plus45,6,12.3918,0.2752,3.4167,0.2446
web,p11,spatial,horizontal,6,2.0456,0.0262,0.6094,0.0233
web,p11,spatial,vertical,5,2.5969,0.0368,0.5606,0.0324
web,p11,spatial,minus45,5,18.0452,0.6881,4.5236,0.6748
web,p11,spatial,plus45,6,20.7638,0.3565,4.4972,0.3715
web,p12,temporal,horizontal,5,2.2325,0.0892,0.7834,0.0805
web,p12,temporal,vertical,5,2.7085,0.1212,0.9773,0.1143
web,p12,temporal,minus45,5,10.7907,0.6987,6.1881,0.7204
web,p12,temporal,plus45,5,10.3618,0.4652,4.7582,0.4387
web,p12,spatial,horizontal,5,2.3091,0.056,0.8044,0.0507
web,p12,spatial,vertical,5,2.9593,0.0662,0.6412,0.0589
web,p12,spatial,minus45,5,14.2081,0.3988,4.028,0.3622
web,p12,spatial,plus45,5,14.7758,0.224,4.3703,0.2073
web,p13,temporal,horizontal,5,1.7944,0.0779,0.9171,0.074
web,p13,temporal,vertical,5,2.1601,0.0934,0.8348,0.0853
web,p13,temporal,minus45,5,13.8313,0.7705,5.4218,0.7519
web,p13,temporal,plus45,5,16.0262,0.4553,4.5848,0.4322
web,p13,spatial,horizontal,5,2.4819,0.0508,0.5685,0.0447
web,p13,spatial,vertical,5,2.7243,0.0821,1.0615,0.0794
web,p13,spatial,minus45,6,22.4317,1.0451,6.5984,1.1167
web,p13,spatial,plus45,5,20.1014,0.4386,4.5477,0.4514
web,p14,temporal,horizontal,5,1.1038,0.0141,0.1991,0.0079
web,p14,temporal,vertical,5,1.0647,0.031,0.4458,0.0274
web,p14,temporal,minus45,5,4.8368,0.1253,1.7579,0.1073
web,p14,temporal,plus45,5,5.2803,0.3257,3.0441,0.3063
web,p14,spatial,horizontal,5,1.2022,0.027,0.4012,0.0236
web,p14,spatial,vertical,5,2.4604,0.0543,0.8863,0.0499
